"trial_num","choice1","choice2","state","pos1","pos2","rts1","rts2","money","stim1.ons.sl","stim1.ons.ms","stim2.ons.sl","stim2.ons.ms","choice1.ons.sl","choice1.ons.ms","choice2.ons.sl","choice2.ons.ms","rew.ons.sl","rew.ons.ms","id"
38,1,2,3,0,0,0.853851018080604,0.426892918228987,1,352016.581567839,352016.572117776,356018.262626082,356018.252806023,352886.100523993,352886.092788741,356455.041985527,356455.032155454,360019.876689002,360019.864914104,"00829"
39,2,2,3,1,1,0.718315428603091,0.547621949895984,0,361530.363808095,361530.355208039,365532.04609637,365532.036076277,362262.114652112,362262.107822046,366087.730941832,366087.722601771,369533.473467782,369533.460917667,"00829"
40,1,1,2,0,0,0.60647240903927,0.930166894439026,0,371040.323222578,371040.312617689,375053.231775835,375053.221415758,371662.113652095,371662.10702683,375997.846102759,375997.8385427,379056.663158491,379056.651928395,"00829"
41,2,1,3,1,0,0.925781613521394,0.770474276898312,1,380568.725939795,380568.718164936,384570.492293924,384570.481879041,381509.972989768,381509.966494918,385349.991139919,385349.984515056,388571.96944575,388571.919845358,"00829"
42,1,2,2,0,1,0.597763524579932,1.12171857582871,0,390080.476543799,390080.467783734,394093.776430205,394093.766500115,390693.801085606,390693.794360355,395229.787308291,395229.779898226,398095.234577075,398095.223686978,"00829"
43,0,0,0,0,0,0,0,0,399608.993617147,399608.977187008,0,0,0,0,0,0,0,0,"00829"
44,1,1,3,1,1,0.652895760445972,0.626763643653248,1,409120.972257763,409120.963542894,413122.737191886,413122.726611808,409789.366554931,409789.358954862,413758.622878969,413758.614204109,417124.210638881,417124.200913593,"00829"
45,2,1,3,0,1,0.637983305932721,0.577523965563159,1,418635.396248356,418635.387428284,422637.165887311,422637.155702427,419287.392634317,419287.3779542,423221.128719017,423221.121404156,426638.644284338,426638.594498754,"00829"
46,2,1,3,1,1,0.66111227782676,0.665354655939154,0,428144.619116947,428144.609966859,432146.392416328,432146.38134104,428821.249705181,428821.243175134,432820.867912143,432820.836246669,436147.910318479,436147.861932874,"00829"
47,1,2,2,1,0,0.428797047658009,0.87359719707456,0,437656.45355162,437656.444696739,441659.327074602,441659.317324534,438100.79293634,438100.785826266,442540.89863719,442540.890832305,445660.853816822,445660.844196752,"00829"
48,1,1,2,0,1,0.820934494753601,0.704378778114915,1,447168.490687922,447168.481087849,451181.450441584,451181.440686718,448004.765233308,448004.751948014,451900.529664218,451900.522214159,455183.001213998,455182.986223876,"00829"
49,2,2,2,0,1,0.708366749400739,0.976848987891572,1,456696.87522018,456696.866984919,460698.643754333,460698.632334247,457420.743491128,457420.736161083,461684.545026347,461684.537866294,464700.141731113,464700.096115962,"00829"
50,1,1,2,0,1,1.24372739333194,1.06520998224732,0,466208.729609832,466208.720894963,470210.450093582,470210.439953506,467468.288026288,467468.280071422,471284.780798241,471284.772498161,474211.979845822,474211.970165744,"00829"
51,1,2,3,1,1,0.827360395123833,1.55958241975168,1,1.03656309843063,1.02856303751469,4015.61735974252,4015.60735966265,843.913731321692,843.905916050076,5588.07340458035,5588.06603933871,8018.21217051148,8018.20240561664,"00829"
52,2,2,3,0,1,0.691246032030904,0.831820962455822,0,9529.64777198434,9529.63887192309,13531.4621016979,13531.4519164115,10236.7907491326,10236.7730389833,14372.138687104,14372.1318118572,17533.0701045692,17533.0564244539,"00829"
53,1,2,2,0,1,1.47661566767783,0.599292143262574,1,19043.4130773097,19043.4043920487,23045.3710529804,23045.3593376726,20533.6160437316,20533.604268834,23651.7204785645,23651.7126037031,27055.8728117794,27055.8639317006,"00829"
54,1,1,3,1,1,0.986433403930278,0.686847894321545,1,28569.8992092013,28569.8909539282,32571.7012384236,32571.6925983429,29571.8410447389,29571.8337146789,33267.596305564,33267.5887455195,36573.3234213889,36573.276161015,"00829"
55,2,1,3,0,0,1.68245736275276,0.519204896743759,0,38081.8955551684,38081.8869199008,42083.6911195219,42083.6801494509,39779.7105424851,39779.7032076269,42611.7680241466,42611.7612940967,46085.274657011,46085.2642669082,"00829"
56,1,1,2,1,0,0.850221715896623,1.47885669977404,1,47593.9718065858,47593.9627517015,51595.8433915526,51595.8322714567,48459.3444147557,48459.3371694982,53083.2735609859,53083.2662361264,55601.8376695067,55601.8271694183,"00829"
57,1,1,2,1,0,0.930594927849597,0.750810683399322,0,57105.5649893284,57105.5564744473,61107.4320794642,61107.4215041846,58051.5641425252,58051.5569624603,61867.1089316607,61867.1011768132,65108.9713217765,65108.9615864903,"00829"
58,1,2,2,1,1,0.850505934620742,0.871008164569503,1,66617.2971483767,66617.2880683094,70619.182598263,70619.1715781838,67483.309361279,67483.3017764241,71499.1113228947,71499.1042928398,74620.8030312359,74620.7925263494,"00829"
59,2,1,3,0,0,1.39459174590593,0.854909432993736,0,76131.7331886739,76131.7220637798,80133.6132689118,80133.6031736284,77539.2139337063,77539.2072884589,80994.8661489338,80994.8590536714,84135.2218265682,84135.2106716782,"00829"
60,2,1,3,1,0,2.06656137038954,0.910872751715942,0,85640.9736125916,85640.9636525065,89643.0914895386,89643.0807294399,87723.8189053535,87723.8076852709,90562.6734461933,90562.6604060829,93644.8474587798,93644.797543183,"00829"
61,0,0,0,1,0,0,0,0,95152.915728122,95152.9052080512,0,0,0,0,0,0,0,0,"00829"
62,0,0,0,1,0,0,0,0,104664.555516452,104664.546111166,0,0,0,0,0,0,0,0,"00829"
63,2,1,2,0,0,0.426321387843927,0.646630491959513,1,114176.50603205,114176.496881977,118178.442892343,118178.432637468,114618.335596681,114618.328091428,118834.234668672,118834.226918608,122182.04710637,122182.036566287,"00829"
64,2,1,3,0,0,1.13061200799712,0.543321776523953,1,123688.378557026,123688.363761723,127690.312872499,127690.302227214,124834.459050477,124834.452390432,128242.500349998,128242.492854744,131692.077456623,131692.066581324,"00829"
65,2,1,3,1,1,0.754532215170912,0.40706525024143,0,133200.253802031,133200.244721964,137202.216522545,137202.206792459,133970.221346572,133970.213216498,137618.073649392,137618.066914544,141207.57210058,141207.562280506,"00829"
66,1,2,2,1,0,0.434414304356324,0.00805583919282071,1,142712.007460862,142711.998925999,146714.86034368,146714.851593614,143161.960135683,143161.953425631,146730.893837154,146730.886997089,150716.524566993,150716.513436899,"00829"
67,2,1,3,0,0,1.54645014469861,0.391207664404646,1,152223.94588156,152223.936996296,156226.010198087,156225.999008,153785.831416652,153785.824996606,156625.925262198,156625.918332145,160232.23550269,160232.224417791,"00829"
68,2,2,3,1,0,0.315768385058618,0.111016153503442,1,161735.876061812,161735.867531747,165737.886863098,165737.876887813,162067.042926341,162067.033836275,165857.565725327,165857.558835268,169739.701402411,169739.691187531,"00829"
69,2,1,2,1,1,0.05039031621709,0.0311012135498459,0,171247.624935806,171247.615780935,175249.620596975,175249.609306887,171313.476947829,171313.469427764,175289.495770767,175289.488180712,179251.457896471,179251.447786376,"00829"
70,2,1,3,1,1,0.362403108141734,0.887109134768252,1,180759.477615833,180759.469040558,184762.293228343,184762.283073068,181137.3246786,181137.317768544,185657.31700854,185657.310288489,188764.027162224,188764.016662136,"00829"
71,2,1,3,1,0,0.5704107486672,0.672407932361239,1,190273.907531261,190273.899155989,194275.986472681,194275.976512611,190857.173247382,190857.16502212,194954.58048664,194954.572901383,198277.737436712,198277.726901814,"00829"
72,1,1,2,0,0,0.834663160407217,0.799186093427124,1,199783.062284499,199783.053374439,203785.371792972,203785.361767694,200633.25470084,200633.247995988,204593.085319474,204593.077889428,207787.053506434,207787.042781144,"00829"
73,1,1,3,0,0,2.09046863431286,1.05506074523146,0,209295.000234798,209294.991379932,213297.01763615,213297.007170856,211400.900677219,211400.893287152,214360.831386641,214360.824021399,217300.712140501,217300.699990407,"00829"
74,2,1,2,0,0,1.05836573590932,0.806930855382234,1,218806.772854179,218806.763868913,222808.825320601,222808.814220518,219880.656535268,219880.649829999,223624.552686423,223624.544681162,226810.503984034,226810.493783951,"00829"
75,1,2,2,1,1,1.11464178707683,0.662687701042159,0,228319.560086489,228319.551076412,232321.628447831,232321.618742958,229448.756614849,229448.74961479,232992.389853925,232992.38199386,236323.836450681,236323.826105416,"00829"
76,1,1,2,1,1,1.11579842948413,1.0630539143749,1,237830.542574331,237830.53388907,241832.645675972,241832.635221094,238961.865229726,238961.857969657,242904.347954795,242904.341349527,245834.419785365,245834.409740075,"00829"
77,2,2,2,1,1,0.834447039145743,1.23098797682906,1,247342.380963847,247342.371528968,251344.679797441,251344.669612154,248192.294833168,248192.288023099,252584.130273044,252584.122767776,255346.404116035,255346.39337115,"00829"
78,2,1,3,1,1,0.474393563446938,0.639350834360812,1,256854.162928104,256854.153803229,260856.224084601,260856.21447973,257344.077637419,257344.069662571,261504.318659365,261504.312189296,264858.020238966,264858.010234088,"00829"
79,2,2,2,0,1,0.962511108373292,1.59859639352362,1,266366.060348481,266366.051673204,270373.532458261,270373.523422986,267344.024722204,267344.01752694,271992.128367037,271992.121231779,274396.698783591,274396.687088311,"00829"
80,2,1,3,1,0,0.769042955434998,0.765713329819846,1,275911.433531478,275911.424446195,279913.545473158,279913.534023076,276695.834751472,276695.827141419,280687.83658269,280687.828477427,283915.498053983,283915.487878695,"00829"
81,2,1,3,1,1,0.281221312878188,0.477837227444979,1,285423.148975194,285423.140349925,289425.190066323,289425.180501446,285719.851128802,285719.844263569,289911.777039021,289911.768978968,293427.021980971,293427.012566105,"00829"
82,2,2,2,0,1,0.488910744374152,0.517197730689077,0,294935.026150212,294935.01778014,298947.645131171,298947.636035889,295439.401185215,295439.393875152,299479.683037475,299479.676242203,302949.590471521,302949.579996645,"00829"
83,1,2,2,0,0,0.95168490492506,1.45944831387897,1,304487.392473936,304487.380879045,308489.520486176,308489.510636076,305447.435634285,305447.428679436,309967.2361027,309967.229117841,312505.520164177,312505.510694087,"00829"
84,1,1,2,1,0,2.67847705255554,0.75559857787448,1,314008.960091695,314008.950501606,318012.977233812,318012.96682854,316703.084229484,316703.077029407,318775.225871816,318775.218316555,322014.805158451,322014.796238363,"00829"
85,2,2,3,1,0,0.878968406497734,0.811586321608047,0,323520.619809762,323520.610859692,327522.736891896,327522.727346614,324415.121570975,324415.114175722,328343.043839157,328343.036444291,331524.579986647,331524.570176557,"00829"
86,1,2,3,1,1,1.61511926405365,0.627689247281523,1,333032.913468108,333032.904873237,337035.04432036,337035.033545062,334663.106719658,334663.0992596,337670.992447942,337670.985192686,341036.914005309,341036.903995246,"00829"
87,2,1,3,0,0,0.823136682985933,0.483718497649534,1,342544.367594942,342544.359129667,346546.53067705,346546.520876959,343382.969533756,343382.962818503,347038.874835804,347038.868250936,350548.417362139,350548.406782061,"00829"
88,2,1,3,0,0,0.887053921789629,0.635378831328126,1,352056.222829789,352056.214124516,356058.402817219,356058.393367156,352958.727949828,352958.720924571,356702.428929433,356702.421529368,360060.431983456,360060.421413362,"00829"
89,2,2,3,0,1,1.43858785927296,0.699465139434324,0,361568.155135244,361568.146755189,365570.253276825,365570.243821949,363022.681306258,363022.669601366,366278.316376537,366278.309206486,369572.146187171,369572.136377096,"00829"
90,2,1,3,1,0,0.990954250723007,0.675034010215313,1,371079.894139156,371079.88523908,375082.158102065,375082.148101985,372086.328130633,372086.320665359,375766.183139473,375766.17383419,379084.068657354,379084.058717281,"00829"
91,2,1,2,1,1,0.358595916666673,1.05977730714949,0,380591.716743737,380591.707693666,384593.864915729,384593.854835644,380966.057763264,380966.0500184,385662.287318304,385662.280218244,388595.911992088,388595.90164721,"00829"
92,1,1,2,0,1,1.2707639043947,0.915839788780431,1,390103.685019478,390103.676049411,394105.932112262,394105.922537386,391389.88357906,391389.875313804,395030.231556654,395030.224566594,398108.28597109,398108.275846198,"00829"
93,1,1,2,1,1,1.77484801872924,0.883515465146047,1,399615.417268142,399615.408373266,403617.700651616,403617.690276325,401405.749110803,401405.742205948,404509.734057873,404509.727137819,407619.608726874,407619.598571599,"00829"
94,1,2,2,0,0,1.51084244567028,1.17952324509679,1,409127.80255723,409127.794077158,413130.024014995,413130.013874918,410653.65488404,410653.647423983,414317.600390807,414317.592255548,417131.931450248,417131.921945378,"00829"
95,1,1,2,1,0,1.47090076511085,0.818922129677958,0,418639.21366851,418639.205203637,422653.767710149,422653.758074865,420125.505428836,420125.498503983,423485.533174261,423485.525924206,426663.76739493,426663.759694874,"00829"
